Avg_Rating,Geek_Rating,Title,Vote
"
			8.91		","
			8.612		",Gloomhaven,"
			24101		"
"
			8.65		","
			8.492		",Pandemic Legacy: Season 1,"
			30682		"
"
			8.54		","
			8.258		",Through the Ages: A New Story of Civilization,"
			15375		"
"
			8.40		","
			8.241		",Terraforming Mars,"
			37613		"
"
			8.32		","
			8.175		",Twilight Struggle,"
			34064		"
"
			8.45		","
			8.162		",Star Wars: Rebellion,"
			16302		"
"
			8.56		","
			8.125		",Gaia Project,"
			8884		"
"
			8.29		","
			8.120		",Scythe,"
			38624		"
"
			8.29		","
			8.078		",Great Western Trail,"
			18699		"
"
			8.73		","
			8.066		",Twilight Imperium (Fourth Edition),"
			6301		"
"
			8.20		","
			8.050		",Terra Mystica,"
			32298		"
"
			8.42		","
			8.031		",War of the Ring (Second Edition),"
			9654		"
"
			8.13		","
			8.012		",The Castles of Burgundy,"
			36205		"
"
			8.13		","
			7.992		",7 Wonders Duel,"
			39840		"
"
			8.38		","
			7.991		",Spirit Island,"
			10251		"
"
			8.62		","
			7.975		",Brass: Birmingham,"
			5166		"
"
			8.43		","
			7.941		",The 7th Continent,"
			8750		"
"
			8.15		","
			7.928		",Viticulture Essential Edition,"
			17008		"
"
			8.10		","
			7.925		",Concordia,"
			19454		"
"
			8.04		","
			7.923		",Puerto Rico,"
			56029		"
"
			8.23		","
			7.921		",Arkham Horror: The Card Game,"
			16989		"
"
			8.08		","
			7.909		",Caverna: The Cave Farmers,"
			23416		"
"
			8.12		","
			7.909		",Brass: Lancashire,"
			14815		"
"
			8.10		","
			7.895		",Mage Knight Board Game,"
			23290		"
"
			7.99		","
			7.889		",Agricola,"
			56620		"
"
			8.16		","
			7.878		",Mansions of Madness: Second Edition,"
			16188		"
"
			8.08		","
			7.876		",Orléans,"
			15596		"
"
			8.18		","
			7.857		",A Feast for Odin,"
			10840		"
"
			8.18		","
			7.851		",Food Chain Magnate,"
			9460		"
"
			8.03		","
			7.849		",Blood Rage,"
			25160		"
"
			8.14		","
			7.817		",Mechs vs. Minions,"
			11007		"
"
			8.27		","
			7.812		",Pandemic Legacy: Season 2,"
			6955		"
"
			8.81		","
			7.810		",Kingdom Death: Monster,"
			5759		"
"
			8.09		","
			7.808		",Star Wars: Imperial Assault,"
			16395		"
"
			7.99		","
			7.803		",Through the Ages: A Story of Civilization,"
			16837		"
"
			7.89		","
			7.802		",Power Grid,"
			49602		"
"
			7.94		","
			7.786		",Azul,"
			26540		"
"
			7.95		","
			7.777		",Eclipse,"
			23889		"
"
			7.93		","
			7.777		",Tzolk'in: The Mayan Calendar,"
			24188		"
"
			7.89		","
			7.754		",Le Havre,"
			22919		"
"
			7.91		","
			7.745		",Robinson Crusoe: Adventures on the Cursed Island,"
			26398		"
"
			7.94		","
			7.731		",The Voyages of Marco Polo,"
			15185		"
"
			8.07		","
			7.710		",Clans of Caledonia,"
			8666		"
"
			7.90		","
			7.710		",Android: Netrunner,"
			24166		"
"
			7.78		","
			7.691		",7 Wonders,"
			68210		"
"
			7.86		","
			7.676		",Keyflower,"
			15755		"
"
			7.76		","
			7.663		",Race for the Galaxy,"
			40317		"
"
			7.81		","
			7.662		",Caylus,"
			24523		"
"
			7.85		","
			7.659		",Dominant Species,"
			15565		"
"
			8.14		","
			7.649		",Fields of Arle,"
			5676		"
"
			7.77		","
			7.647		",Lords of Waterdeep,"
			38193		"
"
			8.12		","
			7.644		",Anachrony,"
			6682		"
"
			8.02		","
			7.643		",Rising Sun,"
			10226		"
"
			7.87		","
			7.641		",Twilight Imperium (Third Edition),"
			17172		"
"
			7.78		","
			7.640		",Five Tribes,"
			25377		"
"
			7.86		","
			7.634		",Eldritch Horror,"
			23340		"
"
			7.78		","
			7.629		",El Grande,"
			21097		"
"
			7.72		","
			7.628		",Codenames,"
			50105		"
"
			7.82		","
			7.614		",Clank!: A Deck-Building Adventure,"
			16583		"
"
			8.10		","
			7.613		",Root,"
			6504		"
"
			7.74		","
			7.610		",Dominion: Intrigue,"
			26921		"
"
			7.72		","
			7.604		",Patchwork,"
			32914		"
"
			8.02		","
			7.601		",The Gallerist,"
			6623		"
"
			7.93		","
			7.597		",Mombasa,"
			8475		"
"
			7.74		","
			7.592		",Battlestar Galactica: The Board Game,"
			29622		"
"
			7.73		","
			7.587		",Roll for the Galaxy,"
			21144		"
"
			7.80		","
			7.580		",Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,"
			13322		"
"
			7.77		","
			7.577		",T.I.M.E Stories,"
			18714		"
"
			7.76		","
			7.574		",Troyes,"
			14946		"
"
			7.79		","
			7.565		",Russian Railroads,"
			12021		"
"
			7.71		","
			7.560		",Tigris & Euphrates,"
			22994		"
"
			7.78		","
			7.554		",Trajan,"
			12431		"
"
			7.77		","
			7.552		",Star Wars: X-Wing Miniatures Game,"
			20649		"
"
			7.64		","
			7.547		",Pandemic,"
			82269		"
"
			7.65		","
			7.545		",Dominion,"
			67668		"
"
			7.69		","
			7.542		",Dead of Winter: A Crossroads Game,"
			32407		"
"
			8.18		","
			7.533		",Wingspan,"
			4548		"
"
			7.79		","
			7.527		",Crokinole,"
			9381		"
"
			8.00		","
			7.522		",Pandemic: Iberia,"
			5986		"
"
			7.75		","
			7.521		",Kemet,"
			13025		"
"
			8.20		","
			7.513		",Lisboa,"
			3934		"
"
			7.73		","
			7.500		",Descent: Journeys in the Dark (Second Edition),"
			19152		"
"
			7.60		","
			7.496		",Stone Age,"
			37845		"
"
			7.99		","
			7.495		",Forbidden Stars,"
			5965		"
"
			8.14		","
			7.493		",Agricola (Revised Edition),"
			4481		"
"
			7.70		","
			7.486		",Alchemists,"
			14499		"
"
			7.82		","
			7.480		",Raiders of the North Sea,"
			8281		"
"
			7.92		","
			7.477		",Yokohama,"
			5741		"
"
			7.78		","
			7.474		",War of the Ring (First Edition),"
			9455		"
"
			7.80		","
			7.473		",Legendary Encounters: An Alien Deck Building Game,"
			9117		"
"
			7.61		","
			7.473		",Star Realms,"
			27995		"
"
			7.63		","
			7.469		",Castles of Mad King Ludwig,"
			18639		"
"
			7.66		","
			7.465		",Santorini,"
			16937		"
"
			7.61		","
			7.464		",Istanbul,"
			19614		"
"
			7.66		","
			7.464		",A Game of Thrones: The Board Game (Second Edition),"
			23745		"
"
			7.79		","
			7.462		",Champions of Midgard,"
			8530		"
"
			7.63		","
			7.458		",The Resistance: Avalon,"
			22249		"
"
			7.78		","
			7.453		",Grand Austria Hotel,"
			8175		"
"
			8.06		","
			7.452		",Aeon's End,"
			4899		"
"
			7.56		","
			7.447		",Ticket to Ride: Europe,"
			46897		"
"
			7.19		","
			6.508		",The Staufer Dynasty,"
			1815		"
"
			7.12		","
			6.508		",Ulm,"
			2078		"
"
			7.06		","
			6.508		",Löwenherz,"
			2309		"
"
			8.01		","
			6.508		",Advanced Squad Leader: Starter Kit #3,"
			913		"
"
			6.91		","
			6.507		",Meuterer,"
			3134		"
"
			7.56		","
			6.507		",The New Era,"
			1224		"
"
			6.86		","
			6.506		",Wyatt Earp,"
			3733		"
"
			7.24		","
			6.506		",Murano,"
			1671		"
"
			6.86		","
			6.506		",The Magic Labyrinth,"
			3880		"
"
			7.20		","
			6.505		",Istanbul: The Dice Game,"
			1840		"
"
			6.69		","
			6.502		",Cartagena,"
			7085		"
"
